Company,Link
'Virtu Ferries',http://www.ferry-site.dk/ferrycompany.php?Rid=312&lang=en
'Vordingborg Kommune',http://www.ferry-site.dk/ferrycompany.php?Rid=372&lang=en
'Wallenius Sol',http://www.ferry-site.dk/ferrycompany.php?Rid=357&lang=en
'Wasaline',http://www.ferry-site.dk/ferrycompany.php?Rid=306&lang=en
'Weiße Flotte',http://www.ferry-site.dk/ferrycompany.php?Rid=216&lang=en
'Weserfähre',http://www.ferry-site.dk/ferrycompany.php?Rid=202&lang=en
'Wightlink',http://www.ferry-site.dk/ferrycompany.php?Rid=103&lang=en
'Ærøfærgerne',http://www.ferry-site.dk/ferrycompany.php?Rid=104&lang=en
'ÆrøXpressen',http://www.ferry-site.dk/ferrycompany.php?Rid=350&lang=en
'Ø-Færgen',http://www.ferry-site.dk/ferrycompany.php?Rid=195&lang=en
'Ölandslinjen',http://www.ferry-site.dk/ferrycompany.php?Rid=352&lang=en
'Østre Færge',http://www.ferry-site.dk/ferrycompany.php?Rid=249&lang=en
